name_or_code,code,count,sample1
Player's Handbook (2014) p. 70,PHB,3,Player's Handbook (2014) p. 70
Fizban's Treasury of Dragons p. 16,FTD,3,Fizban's Treasury of Dragons p. 16
Xanathar's Guide to Everything p. 51,XGE,3,Xanathar's Guide to Everything p. 51
Dragonlance: Shadow of the Dragon Queen p. 35,D:SDQ,3,Dragonlance: Shadow of the Dragon Queen p. 35
"Eberron: Rising from the Last War p. 60,",ERLW,3,"Eberron: Rising from the Last War p. 60,"
Player's Handbook (2014) p. 214,PHB,3,Player's Handbook (2014) p. 214
Player's Handbook (2014) p. 228,PHB,3,Player's Handbook (2014) p. 228
Player's Handbook (2014) p. 235,PHB,3,Player's Handbook (2014) p. 235
Player's Handbook (2014) p. 236,PHB,3,Player's Handbook (2014) p. 236
Player's Handbook (2014) p. 241,PHB,3,Player's Handbook (2014) p. 241
Player's Handbook (2014) p. 280,PHB,3,Player's Handbook (2014) p. 280
"Xanathar's Guide to Everything p. 152,",XGE,3,"Xanathar's Guide to Everything p. 152,"
"Xanathar's Guide to Everything p. 155,",XGE,3,"Xanathar's Guide to Everything p. 155,"
Xanathar's Guide to Everything p. 155,XGE,3,Xanathar's Guide to Everything p. 155
"Xanathar's Guide to Everything p. 159,",XGE,3,"Xanathar's Guide to Everything p. 159,"
"Xanathar's Guide to Everything p. 160,",XGE,3,"Xanathar's Guide to Everything p. 160,"
Xanathar's Guide to Everything p. 165,XGE,3,Xanathar's Guide to Everything p. 165
Xanathar's Guide to Everything p. 167,XGE,3,Xanathar's Guide to Everything p. 167
Xanathar's Guide to Everything p. 168,XGE,3,Xanathar's Guide to Everything p. 168
Xanathar's Guide to Everything p. 171,XGE,3,Xanathar's Guide to Everything p. 171
Tasha's Cauldron of Everything p. 109,TCE,3,Tasha's Cauldron of Everything p. 109
Strixhaven: A Curriculum of Chaos p. 37,SCC,3,Strixhaven: A Curriculum of Chaos p. 37
Spelljammer: Adventures in Space - Astral Adventurer's Guide p. 22,SAS,3,Spelljammer: Adventures in Space - Astral Adventurer's Guide p. 22
Planescape: Adventures in the Multiverse - Sigil and the Outlands p. 12,PS:AiM,3,Planescape: Adventures in the Multiverse - Sigil and the Outlands p. 12
Explorer's Guide to Wildemount p. 186,EGW,3,Explorer's Guide to Wildemount p. 186
Explorer's Guide to Wildemount p. 187,EGW,3,Explorer's Guide to Wildemount p. 187
Explorer's Guide to Wildemount p. 188,EGW,3,Explorer's Guide to Wildemount p. 188
Unearthed Arcana: Modern Magic p. 5,UA,3,Unearthed Arcana: Modern Magic p. 5
Unearthed Arcana: That Old Black Magic p. 2,UA,3,Unearthed Arcana: That Old Black Magic p. 2
Unearthed Arcana: Starter Spells p. 2,UA,3,Unearthed Arcana: Starter Spells p. 2
Unearthed Arcana: Starter Spells p. 5,UA,3,Unearthed Arcana: Starter Spells p. 5
Unearthed Arcana: 2020 Spells And Magic Tattoos p. 2,UA,3,Unearthed Arcana: 2020 Spells And Magic Tattoos p. 2
Unearthed Arcana: Wonders Of The Multiverse p. 10,UA,3,Unearthed Arcana: Wonders Of The Multiverse p. 10
Dungeon Master's Guide (2014) p. 161,DMG,3,Dungeon Master's Guide (2014) p. 161
Dungeon Master's Guide (2014) p. 181,DMG,3,Dungeon Master's Guide (2014) p. 181
Dungeon Master's Guide (2014) p. 182,DMG,3,Dungeon Master's Guide (2014) p. 182
Dungeon Master's Guide (2014) p. 194,DMG,3,Dungeon Master's Guide (2014) p. 194
Dungeon Master's Guide (2014) p. 210,DMG,3,Dungeon Master's Guide (2014) p. 210
"Dungeon Master's Guide (2014) p. 200,",DMG,3,"Dungeon Master's Guide (2014) p. 200,"
Acquisitions Incorporated p. 220,AI,3,Acquisitions Incorporated p. 220
Acquisitions Incorporated p. 221,AI,3,Acquisitions Incorporated p. 221
Baldur's Gate: Descent Into Avernus p. 224,BG:DA,3,Baldur's Gate: Descent Into Avernus p. 224
Eberron: Rising from the Last War p. 276,ERLW,3,Eberron: Rising from the Last War p. 276
Eberron: Rising from the Last War p. 278,ERLW,3,Eberron: Rising from the Last War p. 278
"Eberron: Rising from the Last War p. 279,",ERLW,3,"Eberron: Rising from the Last War p. 279,"
Mythic Odysseys of Theros p. 198,MOT,3,Mythic Odysseys of Theros p. 198
Tasha's Cauldron of Everything p. 126,TCE,3,Tasha's Cauldron of Everything p. 126
Tasha's Cauldron of Everything p. 134,TCE,3,Tasha's Cauldron of Everything p. 134
The Wild Beyond the Witchlight p. 209,WBW,3,The Wild Beyond the Witchlight p. 209
The Wild Beyond the Witchlight p. 212,WBW,3,The Wild Beyond the Witchlight p. 212
The Wild Beyond the Witchlight p. 213,WBW,3,The Wild Beyond the Witchlight p. 213
The Wild Beyond the Witchlight p. 27,WBW,3,The Wild Beyond the Witchlight p. 27
Journeys through the Radiant Citadel p. 212,JRC,3,Journeys through the Radiant Citadel p. 212
Dragonlance: Shadow of the Dragon Queen p. 188,D:SDQ,3,Dragonlance: Shadow of the Dragon Queen p. 188
Dragonlance: Shadow of the Dragon Queen p. 190,D:SDQ,3,Dragonlance: Shadow of the Dragon Queen p. 190
Bigby Presents: Glory of the Giants p. 113,BP:GOG,3,Bigby Presents: Glory of the Giants p. 113
Bigby Presents: Glory of the Giants p. 117,BP:GOG,3,Bigby Presents: Glory of the Giants p. 117
Planescape: Adventures in the Multiverse - Sigil and the Outlands p. 13,PS:AiM,3,Planescape: Adventures in the Multiverse - Sigil and the Outlands p. 13
The Book of Many Things p. 35,BOMT,3,The Book of Many Things p. 35
The Book of Many Things p. 67,BOMT,3,The Book of Many Things p. 67
The Book of Many Things p. 39,BOMT,3,The Book of Many Things p. 39
Quests from the Infinite Staircase p. 192,QIS,3,Quests from the Infinite Staircase p. 192
Phandelver and Below: The Shattered Obelisk p. 219,PBTSO,3,Phandelver and Below: The Shattered Obelisk p. 219
Explorer's Guide to Wildemount p. 152,EGW,3,Explorer's Guide to Wildemount p. 152
Explorer's Guide to Wildemount p. 267,EGW,3,Explorer's Guide to Wildemount p. 267
"Player's Handbook (2014) p. 151,",PHB,3,"Player's Handbook (2014) p. 151,"
Volo's Guide to Monsters p. 105,VGM,3,Volo's Guide to Monsters p. 105
"Sword Coast Adventurer's Guide p. 115,",SCAG,3,"Sword Coast Adventurer's Guide p. 115,"
"DnDBeyond Unearthed Arcana (Homebrew), StrayChowChow (Homebrew)",UA,3,"DnDBeyond Unearthed Arcana (Homebrew), StrayChowChow (Homebrew)"
Unearthed Arcana: Races Of Eberron p. 69,UA,3,Unearthed Arcana: Races Of Eberron p. 69
Unearthed Arcana 77: Folk of the Feywild,UA,3,Unearthed Arcana 77: Folk of the Feywild
Unearthed Arcana: Feats p. 2,UA,3,Unearthed Arcana: Feats p. 2
Unearthed Arcana: 2020 Psionic Options Revisited p. 8,UA,3,Unearthed Arcana: 2020 Psionic Options Revisited p. 8
Unearthed Arcana: Giant Options p. 5,UA,3,Unearthed Arcana: Giant Options p. 5
Sword Coast Adventurer's Guide p. 145,SCAG,3,Sword Coast Adventurer's Guide p. 145
Baldur's Gate: Descent Into Avernus p. 206,BG:DA,3,Baldur's Gate: Descent Into Avernus p. 206
Baldur's Gate: Descent Into Avernus p. 207,BG:DA,3,Baldur's Gate: Descent Into Avernus p. 207
Fizban's Treasury of Dragons p. 84,FTD,3,Fizban's Treasury of Dragons p. 84
"Monster Manual (2014) p. 88,",MM,3,"Monster Manual (2014) p. 88,"
Fizban's Treasury of Dragons p. 86,FTD,3,Fizban's Treasury of Dragons p. 86
"Monster Manual (2014) p. 91,",MM,3,"Monster Manual (2014) p. 91,"
Fizban's Treasury of Dragons p. 127,FTD,3,Fizban's Treasury of Dragons p. 127
Fizban's Treasury of Dragons p. 135,FTD,3,Fizban's Treasury of Dragons p. 135
"Monster Manual (2014) p. 98,",MM,3,"Monster Manual (2014) p. 98,"
Fizban's Treasury of Dragons p. 157,FTD,3,Fizban's Treasury of Dragons p. 157
"Monster Manual (2014) p. 316,",MM,3,"Monster Manual (2014) p. 316,"
"Monster Manual (2014) p. 319,",MM,3,"Monster Manual (2014) p. 319,"
"Monster Manual (2014) p. 276,",MM,3,"Monster Manual (2014) p. 276,"
"Monster Manual (2014) p. 345,",MM,3,"Monster Manual (2014) p. 345,"
"Monster Manual (2014) p. 138,",MM,3,"Monster Manual (2014) p. 138,"
"Monster Manual (2014) p. 325,",MM,3,"Monster Manual (2014) p. 325,"
"Monster Manual (2014) p. 328,",MM,3,"Monster Manual (2014) p. 328,"
"Monster Manual (2014) p. 163,",MM,3,"Monster Manual (2014) p. 163,"
"Monster Manual (2014) p. 332,",MM,3,"Monster Manual (2014) p. 332,"
"Monster Manual (2014) p. 32,",MM,3,"Monster Manual (2014) p. 32,"
"Monster Manual (2014) p. 337,",MM,3,"Monster Manual (2014) p. 337,"
"Monster Manual (2014) p. 350,",MM,3,"Monster Manual (2014) p. 350,"
"Monster Manual (2014) p. 340,",MM,3,"Monster Manual (2014) p. 340,"
"Monster Manual (2014) p. 309,",MM,3,"Monster Manual (2014) p. 309,"
"Volo's Guide to Monsters p. 139,",VGM,3,"Volo's Guide to Monsters p. 139,"
Volo's Guide to Monsters p. 208,VGM,3,Volo's Guide to Monsters p. 208
"Volo's Guide to Monsters p. 208,",VGM,3,"Volo's Guide to Monsters p. 208,"
Volo's Guide to Monsters p. 200,VGM,3,Volo's Guide to Monsters p. 200
Mordenkainen's Tome of Foes p. 90,MTF,3,Mordenkainen's Tome of Foes p. 90
Ghosts of Saltmarsh p. 248,GoS,3,Ghosts of Saltmarsh p. 248
Acquisitions Incorporated p. 208,AI,3,Acquisitions Incorporated p. 208
Baldur's Gate: Descent Into Avernus p. 233,BG:DA,3,Baldur's Gate: Descent Into Avernus p. 233
Baldur's Gate: Descent Into Avernus p. 234,BG:DA,3,Baldur's Gate: Descent Into Avernus p. 234
Icewind Dale: Rime of the Frostmaiden p. 288,ID:RF,3,Icewind Dale: Rime of the Frostmaiden p. 288
Icewind Dale: Rime of the Frostmaiden p. 163,ID:RF,3,Icewind Dale: Rime of the Frostmaiden p. 163
Critical Role: Call of the Netherdeep p. 188,CR:CN,3,Critical Role: Call of the Netherdeep p. 188
Critical Role: Call of the Netherdeep p. 150,CR:CN,3,Critical Role: Call of the Netherdeep p. 150
Critical Role: Call of the Netherdeep p. 191,CR:CN,3,Critical Role: Call of the Netherdeep p. 191
Journeys through the Radiant Citadel p. 157,JRC,3,Journeys through the Radiant Citadel p. 157
Journeys through the Radiant Citadel p. 20,JRC,3,Journeys through the Radiant Citadel p. 20
Spelljammer: Adventures in Space - Boo's Astral Menagerie p. 13,SAS,3,Spelljammer: Adventures in Space - Boo's Astral Menagerie p. 13
Spelljammer: Adventures in Space - Boo's Astral Menagerie p. 27,SAS,3,Spelljammer: Adventures in Space - Boo's Astral Menagerie p. 27
Keys from the Golden Vault p. 85,KGV,3,Keys from the Golden Vault p. 85
Explorer's Guide to Wildemount p. 286,EGW,3,Explorer's Guide to Wildemount p. 286
Explorer's Guide to Wildemount p. 240,EGW,3,Explorer's Guide to Wildemount p. 240
Plane Shift: Amonkhet p. 38,PS:A,3,Plane Shift: Amonkhet p. 38
Unearthed Arcana: Of Ships And Sea p. 4,UA,3,Unearthed Arcana: Of Ships And Sea p. 4
Tasha's Cauldron of Everything p. 29,TCE,2,Tasha's Cauldron of Everything p. 29
Van Richten's Guide to Ravenloft p. 29,VRGR,2,Van Richten's Guide to Ravenloft p. 29
Player's Handbook (2014) p. 75,PHB,2,Player's Handbook (2014) p. 75
Fizban's Treasury of Dragons p. 14,FTD,2,Fizban's Treasury of Dragons p. 14
Tasha's Cauldron of Everything p. 55,TCE,2,Tasha's Cauldron of Everything p. 55
Player's Handbook (2014) p. 98,PHB,2,Player's Handbook (2014) p. 98
Van Richten's Guide to Ravenloft p. 31,VRGR,2,Van Richten's Guide to Ravenloft p. 31
Sword Coast Adventurer's Guide (2014) p. 125,SCAG,2,Sword Coast Adventurer's Guide (2014) p. 125
Sword Coast Adventurer's Guide (2014) p. 126,SCAG,2,Sword Coast Adventurer's Guide (2014) p. 126
"Eberron: Rising from the Last War p. 55,",ERLW,2,"Eberron: Rising from the Last War p. 55,"
Tasha's Cauldron of Everything p. 16,TCE,2,Tasha's Cauldron of Everything p. 16
Tasha's Cauldron of Everything p. 17,TCE,2,Tasha's Cauldron of Everything p. 17
Unearthed Arcana: Prestige Classes and Rune Magic p. 2,UA,2,Unearthed Arcana: Prestige Classes and Rune Magic p. 2
Player's Handbook (2014) p. 220,PHB,2,Player's Handbook (2014) p. 220
Player's Handbook (2014) p. 223,PHB,2,Player's Handbook (2014) p. 223
Player's Handbook (2014) p. 253,PHB,2,Player's Handbook (2014) p. 253
Player's Handbook (2014) p. 262,PHB,2,Player's Handbook (2014) p. 262
Player's Handbook (2014) p. 269,PHB,2,Player's Handbook (2014) p. 269
Player's Handbook (2014) p. 273,PHB,2,Player's Handbook (2014) p. 273
Player's Handbook (2014) p. 281,PHB,2,Player's Handbook (2014) p. 281
Xanathar's Guide to Everything p. 152,XGE,2,Xanathar's Guide to Everything p. 152
Xanathar's Guide to Everything p. 153,XGE,2,Xanathar's Guide to Everything p. 153
Xanathar's Guide to Everything p. 154,XGE,2,Xanathar's Guide to Everything p. 154
"Xanathar's Guide to Everything p. 154,",XGE,2,"Xanathar's Guide to Everything p. 154,"
"Xanathar's Guide to Everything p. 156,",XGE,2,"Xanathar's Guide to Everything p. 156,"
"Xanathar's Guide to Everything p. 157,",XGE,2,"Xanathar's Guide to Everything p. 157,"
Xanathar's Guide to Everything p. 158,XGE,2,Xanathar's Guide to Everything p. 158
"Xanathar's Guide to Everything p. 161,",XGE,2,"Xanathar's Guide to Everything p. 161,"
Xanathar's Guide to Everything p. 161,XGE,2,Xanathar's Guide to Everything p. 161
"Xanathar's Guide to Everything p. 163,",XGE,2,"Xanathar's Guide to Everything p. 163,"
"Xanathar's Guide to Everything p. 165,",XGE,2,"Xanathar's Guide to Everything p. 165,"
Xanathar's Guide to Everything p. 166,XGE,2,Xanathar's Guide to Everything p. 166
"Xanathar's Guide to Everything p. 168,",XGE,2,"Xanathar's Guide to Everything p. 168,"
Xanathar's Guide to Everything p. 169,XGE,2,Xanathar's Guide to Everything p. 169
Acquisitions Incorporated p. 75,AI,2,Acquisitions Incorporated p. 75
Icewind Dale: Rime of the Frostmaiden p. 318,ID:RF,2,Icewind Dale: Rime of the Frostmaiden p. 318
Tasha's Cauldron of Everything p. 20,TCE,2,Tasha's Cauldron of Everything p. 20
"Tasha's Cauldron of Everything p. 106,",TCE,2,"Tasha's Cauldron of Everything p. 106,"
"Tasha's Cauldron of Everything p. 107,",TCE,2,"Tasha's Cauldron of Everything p. 107,"
Tasha's Cauldron of Everything p. 108,TCE,2,Tasha's Cauldron of Everything p. 108
Tasha's Cauldron of Everything p. 111,TCE,2,Tasha's Cauldron of Everything p. 111
Tasha's Cauldron of Everything p. 112,TCE,2,Tasha's Cauldron of Everything p. 112
Tasha's Cauldron of Everything p. 115,TCE,2,Tasha's Cauldron of Everything p. 115
Fizban's Treasury of Dragons p. 19,FTD,2,Fizban's Treasury of Dragons p. 19
Fizban's Treasury of Dragons p. 20,FTD,2,Fizban's Treasury of Dragons p. 20
Unearthed Arcana: Modern Magic p. 6,UA,2,Unearthed Arcana: Modern Magic p. 6
Unearthed Arcana: That Old Black Magic p. 3,UA,2,Unearthed Arcana: That Old Black Magic p. 3
Unearthed Arcana: Class Feature Variants p. 11,UA,2,Unearthed Arcana: Class Feature Variants p. 11
Player's Handbook (2014) p. 148,PHB,2,Player's Handbook (2014) p. 148
Dungeon Master's Guide (2014) p. 153,DMG,2,Dungeon Master's Guide (2014) p. 153
Dungeon Master's Guide (2014) p. 222,DMG,2,Dungeon Master's Guide (2014) p. 222
Dungeon Master's Guide (2014) p. 160,DMG,2,Dungeon Master's Guide (2014) p. 160
Dungeon Master's Guide (2014) p. 162,DMG,2,Dungeon Master's Guide (2014) p. 162
Dungeon Master's Guide (2014) p. 224,DMG,2,Dungeon Master's Guide (2014) p. 224
Dungeon Master's Guide (2014) p. 171,DMG,2,Dungeon Master's Guide (2014) p. 171
Dungeon Master's Guide (2014) p. 178,DMG,2,Dungeon Master's Guide (2014) p. 178
"Dungeon Master's Guide (2014) p. 185,",DMG,2,"Dungeon Master's Guide (2014) p. 185,"
Dungeon Master's Guide (2014) p. 185,DMG,2,Dungeon Master's Guide (2014) p. 185
Dungeon Master's Guide (2014) p. 189,DMG,2,Dungeon Master's Guide (2014) p. 189
Dungeon Master's Guide (2014) p. 195,DMG,2,Dungeon Master's Guide (2014) p. 195
Dungeon Master's Guide (2014) p. 196,DMG,2,Dungeon Master's Guide (2014) p. 196
Dungeon Master's Guide (2014) p. 218,DMG,2,Dungeon Master's Guide (2014) p. 218
Dungeon Master's Guide (2014) p. 214,DMG,2,Dungeon Master's Guide (2014) p. 214
Monster Manual (2014) p. 179,MM,2,Monster Manual (2014) p. 179
"Xanathar's Guide to Everything p. 137,",XGE,2,"Xanathar's Guide to Everything p. 137,"
Mordenkainen's Tome of Foes p. 89,MTF,2,Mordenkainen's Tome of Foes p. 89
"Mordenkainen's Tome of Foes p. 167,",MTF,2,"Mordenkainen's Tome of Foes p. 167,"
Acquisitions Incorporated p. 20,AI,2,Acquisitions Incorporated p. 20
Acquisitions Incorporated p. 22,AI,2,Acquisitions Incorporated p. 22
Acquisitions Incorporated p. 30,AI,2,Acquisitions Incorporated p. 30
Acquisitions Incorporated p. 33,AI,2,Acquisitions Incorporated p. 33
Acquisitions Incorporated p. 222,AI,2,Acquisitions Incorporated p. 222
Baldur's Gate: Descent Into Avernus p. 225,BG:DA,2,Baldur's Gate: Descent Into Avernus p. 225
Eberron: Rising from the Last War p. 244,ERLW,2,Eberron: Rising from the Last War p. 244
Eberron: Rising from the Last War p. 279,ERLW,2,Eberron: Rising from the Last War p. 279
Mythic Odysseys of Theros p. 200,MOT,2,Mythic Odysseys of Theros p. 200
Mythic Odysseys of Theros p. 196,MOT,2,Mythic Odysseys of Theros p. 196
Icewind Dale: Rime of the Frostmaiden p. 317,ID:RF,2,Icewind Dale: Rime of the Frostmaiden p. 317
Icewind Dale: Rime of the Frostmaiden p. 316,ID:RF,2,Icewind Dale: Rime of the Frostmaiden p. 316
Tasha's Cauldron of Everything p. 121,TCE,2,Tasha's Cauldron of Everything p. 121
Tasha's Cauldron of Everything p. 123,TCE,2,Tasha's Cauldron of Everything p. 123
Tasha's Cauldron of Everything p. 131,TCE,2,Tasha's Cauldron of Everything p. 131
Van Richten's Guide to Ravenloft p. 86,VRGR,2,Van Richten's Guide to Ravenloft p. 86
The Wild Beyond the Witchlight p. 208,WBW,2,The Wild Beyond the Witchlight p. 208
The Wild Beyond the Witchlight p. 214,WBW,2,The Wild Beyond the Witchlight p. 214
The Wild Beyond the Witchlight p. 25,WBW,2,The Wild Beyond the Witchlight p. 25
Fizban's Treasury of Dragons p. 27,FTD,2,Fizban's Treasury of Dragons p. 27
Strixhaven: A Curriculum of Chaos p. 179,SCC,2,Strixhaven: A Curriculum of Chaos p. 179
Journeys through the Radiant Citadel p. 214,JRC,2,Journeys through the Radiant Citadel p. 214
Journeys through the Radiant Citadel p. 71,JRC,2,Journeys through the Radiant Citadel p. 71
Spelljammer: Adventures in Space - Astral Adventurer's Guide p. 23,SAS,2,Spelljammer: Adventures in Space - Astral Adventurer's Guide p. 23
Spelljammer: Adventures in Space - Boo's Astral Menagerie p. 47,SAS,2,Spelljammer: Adventures in Space - Boo's Astral Menagerie p. 47
Bigby Presents: Glory of the Giants p. 111,BP:GOG,2,Bigby Presents: Glory of the Giants p. 111
Bigby Presents: Glory of the Giants p. 150,BP:GOG,2,Bigby Presents: Glory of the Giants p. 150
Bigby Presents: Glory of the Giants p. 115,BP:GOG,2,Bigby Presents: Glory of the Giants p. 115
Planescape: Adventures in the Multiverse - Sigil and the Outlands p. 7,PS:AiM,2,Planescape: Adventures in the Multiverse - Sigil and the Outlands p. 7
Planescape: Adventures in the Multiverse - Sigil and the Outlands p. 8,PS:AiM,2,Planescape: Adventures in the Multiverse - Sigil and the Outlands p. 8
The Book of Many Things p. 34,BOMT,2,The Book of Many Things p. 34
The Book of Many Things p. 174,BOMT,2,The Book of Many Things p. 174
The Book of Many Things p. 66,BOMT,2,The Book of Many Things p. 66
The Book of Many Things p. 40,BOMT,2,The Book of Many Things p. 40
The Book of Many Things p. 41,BOMT,2,The Book of Many Things p. 41
The Book of Many Things p. 36,BOMT,2,The Book of Many Things p. 36
The Book of Many Things p. 38,BOMT,2,The Book of Many Things p. 38
The Book of Many Things p. 68,BOMT,2,The Book of Many Things p. 68
The Book of Many Things p. 57,BOMT,2,The Book of Many Things p. 57
Quests from the Infinite Staircase p. 190,QIS,2,Quests from the Infinite Staircase p. 190
"Phandelver and Below: The Shattered Obelisk p. 72,",PBTSO,2,"Phandelver and Below: The Shattered Obelisk p. 72,"
"Phandelver and Below: The Shattered Obelisk p. 220,",PBTSO,2,"Phandelver and Below: The Shattered Obelisk p. 220,"
Explorer's Guide to Wildemount p. 265,EGW,2,Explorer's Guide to Wildemount p. 265
Explorer's Guide to Wildemount p. 275,EGW,2,Explorer's Guide to Wildemount p. 275
Explorer's Guide to Wildemount p. 225,EGW,2,Explorer's Guide to Wildemount p. 225
Explorer's Guide to Wildemount p. 271,EGW,2,Explorer's Guide to Wildemount p. 271
Explorer's Guide to Wildemount p. 272,EGW,2,Explorer's Guide to Wildemount p. 272
Explorer's Guide to Wildemount p. 276,EGW,2,Explorer's Guide to Wildemount p. 276
Explorer's Guide to Wildemount p. 103,EGW,2,Explorer's Guide to Wildemount p. 103
Explorer's Guide to Wildemount p. 277,EGW,2,Explorer's Guide to Wildemount p. 277
Explorer's Guide to Wildemount p. 273,EGW,2,Explorer's Guide to Wildemount p. 273
Unearthed Arcana: Prestige Classes and Rune Magic p. 5,UA,2,Unearthed Arcana: Prestige Classes and Rune Magic p. 5
Player's Handbook (2014) p. 20,PHB,2,Player's Handbook (2014) p. 20
Player's Handbook (2014) p. 24,PHB,2,Player's Handbook (2014) p. 24
Player's Handbook (2014) p. 23,PHB,2,Player's Handbook (2014) p. 23
Player's Handbook (2014) p. 37,PHB,2,Player's Handbook (2014) p. 37
Player's Handbook (2014) p. 28,PHB,2,Player's Handbook (2014) p. 28
Player's Handbook (2014) p. 29,PHB,2,Player's Handbook (2014) p. 29
"Volo's Guide to Monsters p. 107,",VGM,2,"Volo's Guide to Monsters p. 107,"
"Volo's Guide to Monsters p. 109,",VGM,2,"Volo's Guide to Monsters p. 109,"
"Volo's Guide to Monsters p. 113,",VGM,2,"Volo's Guide to Monsters p. 113,"
"Player's Handbook (2014) p. 37,",PHB,2,"Player's Handbook (2014) p. 37,"
"Mordenkainen's Tome of Foes p. 96,",MTF,2,"Mordenkainen's Tome of Foes p. 96,"
Explorer's Guide to Wildemount p. 168,EGW,2,Explorer's Guide to Wildemount p. 168
Plane Shift: Kaladesh p. 21,PS:K,2,Plane Shift: Kaladesh p. 21
Plane Shift: Amonkhet p. 16,PS:A,2,Plane Shift: Amonkhet p. 16
Plane Shift: Ixalan p. 12,PS:I,2,Plane Shift: Ixalan p. 12
Plane Shift: Ixalan p. 14,PS:I,2,Plane Shift: Ixalan p. 14
"DnDBeyond Unearthed Arcana (Homebrew), GmCorsair (Homebrew)",UA,2,"DnDBeyond Unearthed Arcana (Homebrew), GmCorsair (Homebrew)"
"Eberron: Rising from the Last War p. 22,",ERLW,2,"Eberron: Rising from the Last War p. 22,"
Van Richten's Guide to Ravenloft p. 24,VRGR,2,Van Richten's Guide to Ravenloft p. 24
Van Richten's Guide to Ravenloft p. 26,VRGR,2,Van Richten's Guide to Ravenloft p. 26
Fizban's Treasury of Dragons p. 29,FTD,2,Fizban's Treasury of Dragons p. 29
Strixhaven: A Curriculum of Chaos p. 36,SCC,2,Strixhaven: A Curriculum of Chaos p. 36
Dragonlance: Shadow of the Dragon Queen p. 31,D:SDQ,2,Dragonlance: Shadow of the Dragon Queen p. 31
Plane Shift: Kaladesh p. 13,PS:K,2,Plane Shift: Kaladesh p. 13
Unearthed Arcana: Feats p. 3,UA,2,Unearthed Arcana: Feats p. 3
Unearthed Arcana: Feats for Races p. 4,UA,2,Unearthed Arcana: Feats for Races p. 4
Unearthed Arcana: Wonders Of The Multiverse p. 9,UA,2,Unearthed Arcana: Wonders Of The Multiverse p. 9
Player's Handbook (2014) p. 130,PHB,2,Player's Handbook (2014) p. 130
Player's Handbook (2014) p. 131,PHB,2,Player's Handbook (2014) p. 131
Player's Handbook (2014) p. 135,PHB,2,Player's Handbook (2014) p. 135
Player's Handbook (2014) p. 139,PHB,2,Player's Handbook (2014) p. 139
Sword Coast Adventurer's Guide p. 146,SCAG,2,Sword Coast Adventurer's Guide p. 146
Sword Coast Adventurer's Guide p. 153,SCAG,2,Sword Coast Adventurer's Guide p. 153
Acquisitions Incorporated p. 49,AI,2,Acquisitions Incorporated p. 49
Baldur's Gate: Descent Into Avernus p. 205,BG:DA,2,Baldur's Gate: Descent Into Avernus p. 205
Plane Shift: Amonkhet p. 11,PS:A,2,Plane Shift: Amonkhet p. 11
"DnDBeyond Unearthed Arcana (Homebrew),",UA,2,"DnDBeyond Unearthed Arcana (Homebrew),"
"Monster Manual (2014) p. 342,",MM,2,"Monster Manual (2014) p. 342,"
Fizban's Treasury of Dragons p. 94,FTD,2,Fizban's Treasury of Dragons p. 94
"Monster Manual (2014) p. 105,",MM,2,"Monster Manual (2014) p. 105,"
Fizban's Treasury of Dragons p. 96,FTD,2,Fizban's Treasury of Dragons p. 96
"Monster Manual (2014) p. 108,",MM,2,"Monster Manual (2014) p. 108,"
"Monster Manual (2014) p. 112,",MM,2,"Monster Manual (2014) p. 112,"
Fizban's Treasury of Dragons p. 123,FTD,2,Fizban's Treasury of Dragons p. 123
"Monster Manual (2014) p. 94,",MM,2,"Monster Manual (2014) p. 94,"
Fizban's Treasury of Dragons p. 146,FTD,2,Fizban's Treasury of Dragons p. 146
"Monster Manual (2014) p. 101,",MM,2,"Monster Manual (2014) p. 101,"
"Monster Manual (2014) p. 124,",MM,2,"Monster Manual (2014) p. 124,"
"Monster Manual (2014) p. 79,",MM,2,"Monster Manual (2014) p. 79,"
"Monster Manual (2014) p. 313,",MM,2,"Monster Manual (2014) p. 313,"
"Monster Manual (2014) p. 343,",MM,2,"Monster Manual (2014) p. 343,"
"Monster Manual (2014) p. 344,",MM,2,"Monster Manual (2014) p. 344,"
"Monster Manual (2014) p. 70,",MM,2,"Monster Manual (2014) p. 70,"
"Monster Manual (2014) p. 33,",MM,2,"Monster Manual (2014) p. 33,"
"Monster Manual (2014) p. 57,",MM,2,"Monster Manual (2014) p. 57,"
"Monster Manual (2014) p. 154,",MM,2,"Monster Manual (2014) p. 154,"
"Monster Manual (2014) p. 128,",MM,2,"Monster Manual (2014) p. 128,"
"Monster Manual (2014) p. 129,",MM,2,"Monster Manual (2014) p. 129,"
"Monster Manual (2014) p. 346,",MM,2,"Monster Manual (2014) p. 346,"
"Monster Manual (2014) p. 215,",MM,2,"Monster Manual (2014) p. 215,"
"Monster Manual (2014) p. 133,",MM,2,"Monster Manual (2014) p. 133,"
"Monster Manual (2014) p. 125,",MM,2,"Monster Manual (2014) p. 125,"
"Monster Manual (2014) p. 20,",MM,2,"Monster Manual (2014) p. 20,"
"Monster Manual (2014) p. 155,",MM,2,"Monster Manual (2014) p. 155,"
"Monster Manual (2014) p. 148,",MM,2,"Monster Manual (2014) p. 148,"
"Monster Manual (2014) p. 160,",MM,2,"Monster Manual (2014) p. 160,"
"Monster Manual (2014) p. 166,",MM,2,"Monster Manual (2014) p. 166,"
